year,to_country_id,to_country,performer,song,place_contest,place_final,points_final,points_tele_final,points_jury_final,composers,youtube_url,winner,top5,finalist,lyrics_english,total_without_contestant,per_of_pot_max,lyrics_token,tele_percentage,jury_percentage,region
1957,nl,Netherlands,Corry Brokken,Net Als Toen,1.0,1.0,31.0,,,Guus Jansen,https://youtube.com/watch?v=e5gLyP977ew,1,1,1,"Don't be so drowsy with that eternal paper
Don't yawn from sleep or boredom
I'm your wife and I eat out of your hand
But I don't eat from charity
Don't look at me as if you think: 'are you still alive?'
Am I still that woman
With whom you once - when was it again? -
Wanted to have that little adventure at all costs?
Be nice once again, just like then
Ask me once again for a kiss
Bring me roses again, blush again
When you see me, just like then
Be nice and gallant once again
Find me beautiful and charming again
Then the world will be just like before
A fairyland
Yes, you're getting fat and your hair is turning grey
But you still can flirt, believe me
Ah, sometimes you act like a child, so silly
Gruff and wanton by turn
Do you remember? Do you remember? Don't say no now
Do you remember, that you said then?
The happiest couple, that's the both of us
My love, dearest darling, never ends
Be nice once again, just like then
Ask me once again for a kiss
Bring me roses again, blush again
When you see me, just like then
Be nice and gallant once again
Find me beautiful and charming again
Then the world will be just like before
A fairyland
Be nice and gallant once again
Find me beautiful and charming again
Then the world will be juѕt like before
A fairylаnd",90,34.4,"['drowsy', 'paper', 'sleep', 'boredom', 'wife', 'hand', 'charity', 'woman', 'adventure', 'cost', 'kiss', 'rose', 'blush', 'world', 'fairyland', 'hair', 'grey', 'child', 'wanton', 'turn', 'couple', 'love', 'darling', 'kiss', 'rose', 'blush', 'world', 'fairyland', 'world', 'fairylаnd']",,,Western Europe
1957,fr,France,Paule Desjardins,La Belle Amour,2.0,2.0,17.0,,,Guy Lafarge,https://youtube.com/watch?v=g2-XDnBHEbc,0,1,1,"If you like nature, lilacs and birdies
Muscadet, fried foods and the beautiful adventure
Follow the water side
You'll see a ballroom where you could get drunk
In Lisette's clear eyes, on the pom-poms of a musette ball
Before deciding in a kiss to dare everything
Like the water flows in the fountain, this song
Is the song that girls and boys each sing their own way
It will be in everybody's hearts, that's for sure
It will be there forever – the song of the beautiful love
Let's sing it again under the lilacs and lalala here and there
It's the beautiful love
The beautiful love
However the autumn has come, the ballroom with closed shutters
Doesn't have lovers anymore, nobody comes when it's time
To dream along the water side
It's the ball of the dead leaves, which dance on the gravel
And go from door to door, taken along by the wind
Whirling by thousands, waiting for what? – For spring
It's the love song
The beautiful love song
Let's sing it again under the lilacs and lalala here and there
It's the beautiful love
It'ѕ the beautiful love
The beаutiful love",90,18.9,"['nature', 'lilac', 'birdie', 'food', 'adventure', 'water', 'side', 'ballroom', 'eye', 'pom', 'pom', 'musette', 'ball', 'kiss', 'water', 'fountain', 'song', 'song', 'girl', 'boy', 'way', 'heart', 'song', 'love', 'lilac', 'lalala', 'love', 'love', 'autumn', 'ballroom', 'shutter', 'lover', 'time', 'water', 'side', 'ball', 'leave', 'gravel', 'door', 'door', 'wind', 'thousand', 'spring', 'love', 'song', 'love', 'song', 'lilac', 'lalala', 'love', 'love', 'love']",,,Western Europe
1957,dk,Denmark,Birthe Wilke & Gustav Winckler,Skibet Skal Sejle I Nat,3.0,3.0,10.0,,,Erik Fiehn,https://youtube.com/watch?v=vX3WRMF5TuY,0,1,1,"Goodbye then, my lass, stay well
I confess, my heart gives kind of a twinge
While I'm kissing you now
I love you
But the ship is leaving tonight
But the ship is leaving tonight
We met in fun, we courted a little
But what was carelessness, suddenly became serious
And you became everything to me
Now there's only you
But the ship is leaving tonight
Yes, the ship is leaving tonight
We're making a plan, we're dreaming a dream
We're fighting forward, despite head wind and current
Towards what we want so badly
Then suddenly we see
That the ship is leaving tonight
Yes, the ship is leaving tonight
Evening in the sign of the new moon
Two standing in the dark on the quay
Girl and man
One from the sea, one from land
Everything is said, now they're just standing there
In silence
Finally she says:
Goodbye then, my friend, take care of yourself
I think, you've been so nice and fair
And I'll be faithful to you
My life became the two of us
But the ship is leaving tonight
But the ship is leaving tonight
Although I'm yours, with mind and body
And now I can make a fuss and resist
Against what I know will happen
And cry and beg
For the ship is leaving tonight
Yes, the ship is leaving tonight
Suddenly the world stops
You hear the signal bell sounding
Your hopes lie broken, every single one
We humans mean so little
The happiness, we think is firm and solid
It's only on an indefinite shore leave
For everything, we own, must go
We think, it is ours
But the ship is leaving tonight
Yes, the ship iѕ leаving tonight",90,11.1,"['lass', 'heart', 'twinge', 'ship', 'tonight', 'ship', 'tonight', 'fun', 'ship', 'tonight', 'ship', 'tonight', 'plan', 'dream', 'head', 'wind', 'ship', 'tonight', 'ship', 'tonight', 'sign', 'moon', 'dark', 'quay', 'man', 'sea', 'land', 'silence', 'friend', 'care', 'life', 'ship', 'tonight', 'ship', 'tonight', 'your', 'mind', 'body', 'fuss', 'ship', 'tonight', 'ship', 'tonight', 'world', 'signal', 'bell', 'hope', 'human', 'happiness', 'shore', 'ship', 'tonight', 'ship', 'tonight']",,,Northern Europe
1957,lu,Luxembourg,Danièle Dupré,Amours Mortes (Tant De Peine),4.0,4.0,8.0,,,Jean-Pierre Kemmer,https://youtube.com/watch?v=-0nMxZ8L1cI,0,1,1,"You, that I love
You made me so much sad
How to erase
The passing days?
So much sadness
Whole days long I'm hanging around
Begging to my remembrance
A little bit from you
Your voice in a dream
I remember
Whispered unremittingly
Didn't ask nothing
You were so tender
This summer night
How to forbid myself
To not listen?
You, that I love
You made me so much sad
How to erase
The passing days?
Nobody any more
And my monotonous life
Is marking out every days
Without your love
Without you I'm shivering
Looking for your hand
In the autumn night
I'm hoping, in vain
And nevertheless really
My life inside of me
Scream to me: I only love
Only love you
You, that I love
You made me so much sad
How to erase
The passing days?
Your voice, your lips
Imprisoned my fever
But how to erase
The passing dаyѕ?",90,8.9,"['day', 'sadness', 'day', 'remembrance', 'bit', 'voice', 'dream', 'summer', 'night', 'day', 'life', 'day', 'love', 'hand', 'autumn', 'night', 'life', 'day', 'voice', 'lip', 'fever', 'dаyѕ']",,,Western Europe
1957,de,Germany,Margot Hielscher,"Telefon, Telefon",4.0,4.0,8.0,,,Friedrich Meyer,https://youtube.com/watch?v=NoDpE2LtoZA,0,1,1,"Hello – how do you do?
Hello – thank you very much
That's what I hear from every country
Hello – thanks, yes, yes
Hello – nothing for me
My heart is already taken, no sir
Telephone, telephone, whenever your call is heard
At the very first ring I ask myself, what news you'll bring
Telephone, telephone, time goes by silently
I've been waiting a long long time, yesterday and also today
You know my great desire
For the most beautiful thing in the world
Which keeps my heart and my soul
Breathing, day and night
Telephone, telephone, for a long time I've been alone
Tell me, when will I be rewarded with happiness at last?
Hello – at last, darling
Hello – what, tomorrow morning?
Tell me, why don't you come tonight?
Hello – don't hang up yet
Hello – I'm alone
And I've been thinking about you the whole day
Telephone, telephone, whenever your call is heard
At the very first ring I ask myself, what news you'll bring
Telephone, telephone, time goes by silently
I've been waiting a long long time, yesterday and also today
You know my great desire
For the most beautiful thing in the world
Which keeps my heart and my soul
Breathing, day and night
Telephone, telephone, for a long time I've been alone
Tell me, when will I be rewarded with happiness at last?
Hello? Oh, I can't talk аnymore
My song iѕ ending – goodbye, good night",90,8.9,"['country', 'thank', 'heart', 'telephone', 'call', 'ring', 'news', 'telephone', 'time', 'time', 'yesterday', 'today', 'desire', 'world', 'heart', 'soul', 'day', 'night', 'telephone', 'time', 'happiness', 'darling', 'tomorrow', 'morning', 'tonight', 'day', 'telephone', 'call', 'ring', 'news', 'telephone', 'time', 'time', 'yesterday', 'today', 'desire', 'world', 'heart', 'soul', 'day', 'night', 'telephone', 'time', 'happiness', 'аnymore', 'song', 'night']",,,Western Europe
1957,it,Italy,Nunzio Gallo,Corde Della Mia Chitarra,6.0,6.0,7.0,,,Mario Ruccione,https://youtube.com/watch?v=uUPzp2XJIyo,0,0,1,"She's back
The same things welcomed her
The same roses welcomed her
Sweet green eyed dream
She's back, but it's too late
Too late for the one who waited
Strings of my guitar
If my hand is trembling on a chord
If music fades away
In the indifference of a glance
Strings of my guitar
Why do you stop, why don't you play?
Only you, for me
Ah, how sweet this music was
Ah, and useless it seems now
If she won't listen to us, don't stop
Strings of my guitar
Play for me
Strings of my guitar
Why do you stop, why don't you play?
Only you, for me
Ah, how sweet this music was
Ah, and useless it seems now
If she won't listen to us, don't stop
Strings of my guitar
Play for me
Play, play
Stringѕ of my guitаr",90,7.8,"['rose', 'dream', 'one', 'string', 'guitar', 'hand', 'chord', 'music', 'indifference', 'glance', 'string', 'guitar', 'music', 'string', 'guitar', 'play', 'string', 'guitar', 'music', 'string', 'guitar', 'play', 'guitаr']",,,Southern Europe
1957,gb,United Kingdom,Patricia Bredin,All,7.0,7.0,6.0,,,Reynell Wreford,https://youtube.com/watch?v=LGHNEpTNcXU,0,0,1,"All the golden dreams of yesterday
All the fragrance of a bygone May
All the words two hearts in love can say
All you'll ever mean to me, my darling
All we've shared throughout the passing years
All the laughter, all the sighs, the tears
All the joy of living, loving and forgiving
These are all to me
All the laughter, all the sighs, the tears
All the joy of living, loving and forgiving
Theѕe are аll to me
Tutti i sogni d'oro di ieri
Tutta la fragranza di un maggio passato
Tutte le parole che due cuori innamorati possono dire
Tutto ciò che significherai per me, mia cara
Tutto quello che abbiamo condiviso nel corso degli anni
Tutte le risate, tutti i sospiri, le lacrime
Tutta la gioia di vivere, amare e perdonare
Questi sono tutti per me
Tutte le risate, tutti i sospiri, le lacrime
Tutta la gioia di vivere, amare e perdonаre
Questi ѕono tutti per me
Todos os sonhos dourados de ontem
Toda a fragrância de um maio passado
Todas as palavras que dois corações apaixonados podem dizer
Tudo o que você sempre significará para mim, minha querida
Tudo o que compartilhamos ao longo dos anos
Todas as risadas, todos os suspiros, as lágrimas
Toda a alegria de viver, amar e perdoar
Tudo isso é para mim
Todas as risadas, todos os suspiros, as lágrimas
Toda a alegria de viver, amar e perdoar
Tudo isѕo é parа mim
Все золотые мечты вчерашнего дня
Все ароматы ушедшего мая
Все слова, которые могут сказать два влюбленных сердца
Все, что ты когда-либо будешь значить для меня, мой дорогой
Все, что мы делили на протяжении многих лет
Весь смех, все вздохи, все слезы
Вся радость жизни, любви и прощения
Все это для меня
Весь смех, все вздохи, все слезы
Вся радость жизни, любви и прощения
Все это для меня",90,6.7,"['dream', 'yesterday', 'fragrance', 'heart', 'love', 'darling', 'year', 'laughter', 'sigh', 'tear', 'joy', 'living', 'laughter', 'sigh', 'tear', 'joy', 'living', 'аll', 'ciò', 'che', 'significherai', 'che', 'risate', 'vivere', 'perdonare', 'risate', 'vivere', 'ѕono', 'todo', 'sonhos', 'palavra', 'que', 'que', 'compartilhamo', 'risada', 'suspiro', 'viver', 'risada', 'suspiro', 'viver', 'parа', 'вчерашнего', 'ароматы', 'слова', 'вздохи', 'слезы', 'прощения', 'смех', 'вздохи', 'слезы', 'прощения']",,,Northern Europe
1957,be,Belgium,Bobbejaan Schoepen,Straatdeuntje,8.0,8.0,5.0,,,Harry Frékin,https://youtube.com/watch?v=mu8ueVHTb9k,0,0,1,"Along the streets, a tune is dancing
And for a moment I stand still
Where is that pretty tune
All of a sudden coming from?
It's playing in the trees
Frolicking in the wind
It can't be bridled
It's soon becoming my friend
Along the streets, a tune is floating
It's as if a sunbeam
Is penetrating with that pretty tune
Into the most little portal
Tralalala tralala tralalala…
Tralalala tralala tralalala…
Along the streets, a tune is dancing
It's heard by young and old
Oh, how such a simple tune
Can become indispensable so quickly
It knocks on the windows
Asks: ""Let me in""
I can easily whistle it
It makes me good-humoured
Along the streets, a tune is floating
It follows me everywhere
And I hope that this pretty tune
Will alwayѕ remain my friend
Tralalala tralala tralalala…
Tralalala lalala tralalalа…",90,5.6,"['street', 'tune', 'moment', 'tune', 'tree', 'wind', 'friend', 'street', 'tune', 'sunbeam', 'tune', 'tralala', 'tralala', 'street', 'tune', 'tune', 'window', 'street', 'tune', 'tune', 'friend', 'tralala', 'lalala', 'tralalalа']",,,Western Europe
1957,ch,Switzerland,Lys Assia,L'enfant Que J'étais,8.0,8.0,5.0,,,Géo Voumard,https://youtube.com/watch?v=16ltDhw2lxs,0,0,1,"The child that I was, where does she play today?
Flowers I used to love, who picked them for me?
My heart, do you remember the white dresses
On the losing ways of our Sundays?
Words to sing a friend's face
Nights to dream, I was so rich
When the heart on the watch, the straggling lock
Goes to school, the child that I was
A winter time, wrinkle takes you
A love time and we're growing
Much water had flowed under the bridges
Forgotten dreams with the passing seasons
A smile time and we are in love
Time to lie and yet we are old
The child that I was, where is he stray?
Flowers I used to love, who had make them fade?
My heart, do you remember our promises?
Life didn't want your tenderness
Words to love, hopes and nights
Golden lies, I was so rich
When the heart on the watch, love in head
Going to the fair, the child that I was
When the heart on the watch, love in head
Going to the fair, the child that I wаѕ",90,5.6,"['child', 'today', 'flower', 'heart', 'dress', 'way', 'friend', 'face', 'night', 'heart', 'watch', 'lock', 'school', 'child', 'winter', 'time', 'wrinkle', 'love', 'time', 'water', 'bridge', 'dream', 'season', 'smile', 'time', 'love', 'child', 'flower', 'heart', 'promise', 'tenderness', 'hope', 'night', 'lie', 'heart', 'watch', 'love', 'head', 'child', 'heart', 'watch', 'love', 'head', 'child']",,,Western Europe
1957,at,Austria,Bob Martin,"Wohin, Kleines Pony",10.0,10.0,3.0,,,Kurt Svab,https://youtube.com/watch?v=5mETWk_nB1Q,0,0,1,"Where, little pony, do we want to ride to?
Where should my song accompany us today?
To your herds, the little horses?
There the valleys are immensely wide
Where, little pony, do we want to ride to?
Where should my song accompany us today?
To the green pasture, there in the moorland
Where once I've kissed, at the time of roses
Today is a day only for both of us
And you and me are carefree
Who else sees the world as beautiful
As beautiful as we see it?
Where, little pony, do we want to ride to?
My song will truely acompany both of us
And through the fields, the wide fields
It sounds in the wind, how happy we are
Today is a day only for both of us
And you and me are carefree
Who else sees the world as beautiful
As beautiful as we see it?
Where, little pony, do we want to ride to?
My song will truely acompаny both of us
And through the fields, the wide fields
Sounds for both of uѕ, my herippihei",90,3.3,"['pony', 'song', 'today', 'herd', 'horse', 'valley', 'pony', 'song', 'today', 'pasture', 'moorland', 'time', 'rose', 'today', 'day', 'world', 'pony', 'song', 'field', 'field', 'wind', 'today', 'day', 'world', 'pony', 'song', 'field', 'field', 'herippihei']",,,Western Europe
